Game ID,Game Name,Bet Name,Market Name,Sportsbook,line,Odds
29382-35775-2024-12-31,Nevada vs Utah State,Nevada Under 82.5,Team Total,DraftKings,82.5,-600.0
29382-35775-2024-12-31,Nevada vs Utah State,Nevada Under 83.5,Team Total,DraftKings,83.5,-750.0
29382-35775-2024-12-31,Nevada vs Utah State,Utah State Over 61.5,Team Total,DraftKings,61.5,-800.0
29382-35775-2024-12-31,Nevada vs Utah State,Utah State Over 62.5,Team Total,DraftKings,62.5,-650.0
29382-35775-2024-12-31,Nevada vs Utah State,Utah State Over 63.5,Team Total,DraftKings,63.5,-500.0
29382-35775-2024-12-31,Nevada vs Utah State,Utah State Over 64.5,Team Total,DraftKings,64.5,-390.0
29382-35775-2024-12-31,Nevada vs Utah State,Utah State Over 65.5,Team Total,DraftKings,65.5,-320.0
29382-35775-2024-12-31,Nevada vs Utah State,Utah State Over 66.5,Team Total,DraftKings,66.5,-255.0
29382-35775-2024-12-31,Nevada vs Utah State,Utah State Over 67.5,Team Total,DraftKings,67.5,-215.0
29382-35775-2024-12-31,Nevada vs Utah State,Utah State Over 68.5,Team Total,DraftKings,68.5,-175.0
29382-35775-2024-12-31,Nevada vs Utah State,Utah State Over 69.5,Team Total,DraftKings,69.5,-145.0
29382-35775-2024-12-31,Nevada vs Utah State,Utah State Over 71.5,Team Total,DraftKings,71.5,100.0
29382-35775-2024-12-31,Nevada vs Utah State,Utah State Over 72.5,Team Total,DraftKings,72.5,120.0
29382-35775-2024-12-31,Nevada vs Utah State,Utah State Over 73.5,Team Total,DraftKings,73.5,140.0
29382-35775-2024-12-31,Nevada vs Utah State,Utah State Over 74.5,Team Total,DraftKings,74.5,165.0
29382-35775-2024-12-31,Nevada vs Utah State,Utah State Over 75.5,Team Total,DraftKings,75.5,200.0
29382-35775-2024-12-31,Nevada vs Utah State,Utah State Over 76.5,Team Total,DraftKings,76.5,235.0
29382-35775-2024-12-31,Nevada vs Utah State,Utah State Over 77.5,Team Total,DraftKings,77.5,280.0
29382-35775-2024-12-31,Nevada vs Utah State,Utah State Over 78.5,Team Total,DraftKings,78.5,330.0
29382-35775-2024-12-31,Nevada vs Utah State,Utah State Over 79.5,Team Total,DraftKings,79.5,380.0
29382-35775-2024-12-31,Nevada vs Utah State,Utah State Over 80.5,Team Total,DraftKings,80.5,450.0
